,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
702,2015-05-06,2.8927393958015886,2.3799736293099616,3.4296170161602157,2.8927393958015886,2.8927393958015886,0.009704394149204208,0.009704394149204208,0.009704394149204208,0.018693006305927427,0.018693006305927427,0.018693006305927427,-0.00898861215672322,-0.00898861215672322,-0.00898861215672322,0.0,0.0,0.0,2.9024437899507927
703,2015-05-07,2.885570306626472,2.365861980699437,3.438216408962363,2.885570306626472,2.885570306626472,0.012435973054836156,0.012435973054836156,0.012435973054836156,0.011154283360018788,0.011154283360018788,0.011154283360018788,0.0012816896948173678,0.0012816896948173678,0.0012816896948173678,0.0,0.0,0.0,2.8980062796813084
704,2015-05-08,2.8784012174513562,2.352827911296477,3.3715591427765688,2.8784012174513562,2.8784012174513562,0.013325472346455364,0.013325472346455364,0.013325472346455364,0.001993929871568223,0.001993929871568223,0.001993929871568223,0.011331542474887138,0.011331542474887138,0.011331542474887138,0.0,0.0,0.0,2.8917266897978116
705,2015-05-11,2.856893949926007,2.3319953905276742,3.4160182172446163,2.856893949926007,2.856893949926007,0.04230607117330671,0.04230607117330671,0.04230607117330671,0.0018360270012586408,0.0018360270012586408,0.0018360270012586408,0.040470044172048074,0.040470044172048074,0.040470044172048074,0.0,0.0,0.0,2.899200021099314
706,2015-05-12,2.8497248607508907,2.4241420859180343,3.438122000958074,2.8497248607508907,2.8497248607508907,0.057163134791829585,0.057163134791829585,0.057163134791829585,0.007201358599848872,0.007201358599848872,0.007201358599848872,0.04996177619198072,0.04996177619198072,0.04996177619198072,0.0,0.0,0.0,2.9068879955427205
707,2015-05-13,2.8425557715757725,2.388780439440974,3.4477041105289077,2.8425557715757725,2.8425557715757725,0.07809615711183128,0.07809615711183128,0.07809615711183128,0.018693006305925405,0.018693006305925405,0.018693006305925405,0.05940315080590588,0.05940315080590588,0.05940315080590588,0.0,0.0,0.0,2.920651928687604
708,2015-05-14,2.8353866824006566,2.3951139222006836,3.470368287159415,2.8353866824006566,2.8353866824006566,0.07998323530045803,0.07998323530045803,0.07998323530045803,0.011154283360002565,0.011154283360002565,0.011154283360002565,0.06882895194045548,0.06882895194045548,0.06882895194045548,0.0,0.0,0.0,2.9153699177011148
709,2015-05-15,2.8282175932255407,2.356116251132286,3.422254997887482,2.8282175932255407,2.8282175932255407,0.08026503275163299,0.08026503275163299,0.08026503275163299,0.001993929871522538,0.001993929871522538,0.001993929871522538,0.07827110288011045,0.07827110288011045,0.07827110288011045,0.0,0.0,0.0,2.9084826259771734
710,2015-05-18,2.806710325700191,2.3689588973635303,3.3986285954027617,2.806710325700191,2.806710325700191,0.10877709896314851,0.10877709896314851,0.10877709896314851,0.001836027001276305,0.001836027001276305,0.001836027001276305,0.10694107196187219,0.10694107196187219,0.10694107196187219,0.0,0.0,0.0,2.9154874246633398
711,2015-05-19,2.799541236525075,2.3969325763853906,3.4568814494549454,2.799541236525075,2.799541236525075,0.1238608260196584,0.1238608260196584,0.1238608260196584,0.007201358599851296,0.007201358599851296,0.007201358599851296,0.1166594674198071,0.1166594674198071,0.1166594674198071,0.0,0.0,0.0,2.9234020625447337
712,2015-05-20,2.792372147349959,2.423168762442469,3.4673017152280865,2.792372147349959,2.792372147349959,0.14515355156587306,0.14515355156587306,0.14515355156587306,0.01869300630593,0.01869300630593,0.01869300630593,0.12646054525994307,0.12646054525994307,0.12646054525994307,0.0,0.0,0.0,2.9375256989158323
713,2015-05-21,2.785203058174842,2.4031993053462863,3.4901409439063347,2.785203058174842,2.785203058174842,0.1474843401966976,0.1474843401966976,0.1474843401966976,0.011154283360029077,0.011154283360029077,0.011154283360029077,0.13633005683666852,0.13633005683666852,0.13633005683666852,0.0,0.0,0.0,2.9326873983715394
714,2015-05-22,2.778033968999726,2.407166573642553,3.482640569892338,2.778033968999726,2.778033968999726,0.14823637254215988,0.14823637254215988,0.14823637254215988,0.0019939298715691994,0.0019939298715691994,0.0019939298715691994,0.14624244267059067,0.14624244267059067,0.14624244267059067,0.0,0.0,0.0,2.926270341541886
