,Date,NG,outliers,scores,anomaly_score
7772,2018-04-19,2.8099999999999996,no,0.36562730066817417,1
7773,2018-04-20,2.7999999999999994,no,0.36485183889907224,1
7774,2018-04-21,2.7999999999999994,no,0.36485183889907224,1
7775,2018-04-22,2.7999999999999994,no,0.36485183889907224,1
7776,2018-04-23,2.7919999999999994,no,0.3648589132287014,1
7777,2018-04-24,2.7939999999999996,no,0.3651987458844834,1
7778,2018-04-25,2.801999999999999,no,0.3687571661513688,1
7779,2018-04-26,2.7959999999999994,no,0.3651987458844834,1
7780,2018-04-27,2.7879999999999994,no,0.3609273206765085,1
7781,2018-04-28,2.7879999999999994,no,0.3609273206765085,1
7782,2018-04-29,2.7879999999999994,no,0.3609273206765085,1
7783,2018-04-30,2.7799999999999994,no,0.35994929454095087,1
7784,2018-05-01,2.7679999999999993,no,0.3599062615451129,1
7785,2018-05-02,2.753999999999999,no,0.36030902713845503,1
7786,2018-05-03,2.7519999999999993,no,0.3613142268162817,1
7787,2018-05-04,2.7559999999999993,no,0.35922579724762865,1
7788,2018-05-05,2.7559999999999993,no,0.35922579724762865,1
7789,2018-05-06,2.7559999999999993,no,0.35922579724762865,1
7790,2018-05-07,2.7519999999999993,no,0.3613142268162817,1
7791,2018-05-08,2.7579999999999996,no,0.35975390354452624,1
7792,2018-05-09,2.757999999999999,no,0.35975390354452624,1
7793,2018-05-10,2.777999999999999,no,0.3598159809898705,1
7794,2018-05-11,2.789999999999999,no,0.3631207238076253,1
7795,2018-05-12,2.789999999999999,no,0.3631207238076253,1
7796,2018-05-13,2.789999999999999,no,0.3631207238076253,1
7797,2018-05-14,2.809999999999999,no,0.36562730066817417,1
7798,2018-05-15,2.8039999999999994,no,0.3667720060160626,1
7799,2018-05-16,2.8039999999999994,no,0.3667720060160626,1
7800,2018-05-17,2.789999999999999,no,0.3631207238076253,1
7801,2018-05-18,2.7759999999999994,no,0.3604610483026172,1
7802,2018-05-19,2.7759999999999994,no,0.3604610483026172,1
7803,2018-05-20,2.7759999999999994,no,0.3604610483026172,1
7804,2018-05-21,2.784,no,0.3617279053504464,1
7805,2018-05-22,2.809999999999999,no,0.36562730066817417,1
7806,2018-05-23,2.8359999999999994,no,0.36142149326124895,1
7807,2018-05-24,2.8499999999999996,no,0.36054630062967363,1
7808,2018-05-25,2.8639999999999994,no,0.3626381703932666,1
7809,2018-05-26,2.8639999999999994,no,0.3626381703932666,1
7810,2018-05-27,2.8639999999999994,no,0.3626381703932666,1
7811,2018-05-28,2.8639999999999994,no,0.3626381703932666,1
7812,2018-05-29,2.8739999999999997,no,0.3623377039065008,1
7813,2018-05-30,2.8799999999999994,no,0.3636624571581002,1
7814,2018-05-31,2.8819999999999997,no,0.3636624571581002,1
7815,2018-06-01,2.8919999999999995,no,0.3692733834880018,1
7816,2018-06-02,2.8919999999999995,no,0.3692733834880018,1
7817,2018-06-03,2.8919999999999995,no,0.3692733834880018,1
7818,2018-06-04,2.904,no,0.37307067170162295,1
7819,2018-06-05,2.9199999999999995,no,0.3736436555918372,1
7820,2018-06-06,2.92,no,0.3736436555918372,1
7821,2018-06-07,2.942,no,0.37273817117640545,1
7822,2018-06-08,2.9599999999999995,no,0.37265516243917707,1
7823,2018-06-09,2.9599999999999995,no,0.37265516243917707,1
7824,2018-06-10,2.9599999999999995,no,0.37265516243917707,1
7825,2018-06-11,2.9779999999999998,no,0.3722483671350753,1
7826,2018-06-12,2.9719999999999995,no,0.3734679743009899,1
7827,2018-06-13,2.9939999999999998,no,0.37173643423271346,1
7828,2018-06-14,2.9919999999999995,no,0.3722488769542069,1
7829,2018-06-15,2.9859999999999993,no,0.3716516123146773,1
7830,2018-06-16,2.9859999999999993,no,0.3716516123146773,1
7831,2018-06-17,2.9859999999999993,no,0.3716516123146773,1
7832,2018-06-18,2.9819999999999998,no,0.3714312888202926,1
7833,2018-06-19,2.999999999999999,no,0.3725855416839382,1
7834,2018-06-20,2.9859999999999998,no,0.3716516123146773,1
7835,2018-06-21,2.9799999999999995,no,0.37138661269678996,1
7836,2018-06-22,2.9859999999999993,no,0.3716516123146773,1
7837,2018-06-23,2.9859999999999993,no,0.3716516123146773,1
7838,2018-06-24,2.9859999999999993,no,0.3716516123146773,1
7839,2018-06-25,2.9959999999999996,no,0.37228990316765836,1
7840,2018-06-26,2.9779999999999998,no,0.3722483671350753,1
7841,2018-06-27,2.9799999999999995,no,0.37138661269678996,1
7842,2018-06-28,2.967999999999999,no,0.37295705982790406,1
7843,2018-06-29,2.9519999999999995,no,0.37464444800734703,1
7844,2018-06-30,2.9519999999999995,no,0.37464444800734703,1
7845,2018-07-01,2.9519999999999995,no,0.37464444800734703,1
7846,2018-07-02,2.9319999999999995,no,0.37280601531256485,1
7847,2018-07-03,2.9159999999999995,no,0.3726679843910075,1
7848,2018-07-04,2.9159999999999995,no,0.3726679843910075,1
7849,2018-07-05,2.9039999999999995,no,0.37307067170162295,1
7850,2018-07-06,2.9039999999999995,no,0.37307067170162295,1
7851,2018-07-07,2.9039999999999995,no,0.37307067170162295,1
7852,2018-07-08,2.9039999999999995,no,0.37307067170162295,1
7853,2018-07-09,2.9019999999999997,no,0.37299887225571177,1
7854,2018-07-10,2.8979999999999997,no,0.37118832526286816,1
7855,2018-07-11,2.887999999999999,no,0.3681271784581281,1
7856,2018-07-12,2.8599999999999994,no,0.36123337699073654,1
7857,2018-07-13,2.8419999999999996,no,0.36428705726816496,1
7858,2018-07-14,2.8419999999999996,no,0.36428705726816496,1
7859,2018-07-15,2.8419999999999996,no,0.36428705726816496,1
7860,2018-07-16,2.823999999999999,no,0.36212342334489867,1
7861,2018-07-17,2.7959999999999994,no,0.3651987458844834,1
7862,2018-07-18,2.781999999999999,no,0.3605187027240051,1
7863,2018-07-19,2.7879999999999994,no,0.3609273206765085,1
7864,2018-07-20,2.7719999999999994,no,0.3624225606679702,1
7865,2018-07-21,2.7719999999999994,no,0.3624225606679702,1
7866,2018-07-22,2.7719999999999994,no,0.3624225606679702,1
7867,2018-07-23,2.7759999999999994,no,0.3604610483026172,1
